date,price,volume,market_cap
2024-07-31,3276.981779516743,13805865977.524105,393942961780.88654
2024-08-01,3233.076804863122,16143420325.47769,388633791826.8701
2024-08-02,3204.2465237463616,17786413332.129932,385340171208.75555
2024-08-03,2983.300976694291,18785849199.903355,358543505038.73834
2024-08-04,2906.7150241765007,17701956694.58319,349395441871.30615
2024-08-05,2682.4373928187924,22171247833.139385,323403607818.7498
2024-08-06,2415.6311394312143,73571034926.63428,291245061884.5607
2024-08-07,2455.51137665051,27613148149.796356,295168597349.07764
2024-08-08,2341.590346028249,24968091142.09198,282098261495.40393
2024-08-09,2685.012750687489,24290512619.839314,322827381254.3183
2024-08-10,2602.1840712761878,18077335701.97768,312353537574.9063
2024-08-11,2608.0357436286963,8849019546.648287,313697482213.2365
2024-08-12,2558.790870730736,12624674028.077477,307740266021.366
2024-08-13,2726.777988551933,22670968464.846756,328070186437.41003
2024-08-14,2703.5505587641255,16366799383.61909,325002180894.27686
2024-08-15,2662.780395092489,15887432311.728333,320231285058.06165
2024-08-16,2569.8604812159274,15498476343.410463,309002097789.9878
2024-08-17,2592.249006212312,12841847017.271076,311786461030.44476
2024-08-18,2613.139261446099,5483825246.098839,314212508914.4149
2024-08-19,2614.6012806263716,8617702421.12827,314682052511.7037
2024-08-20,2640.5904207330605,11730843561.162947,317616756579.9527
2024-08-21,2575.643435503567,12823659998.035198,309867213669.31934
2024-08-22,2630.2988017642488,11246256658.90509,316360729845.1586
2024-08-23,2623.289171364539,10277172867.663338,315630604929.4857
2024-08-24,2763.2554073640704,17876365362.452858,332181161792.2442
2024-08-25,2767.840733546234,11990449014.147696,332950073030.8183
2024-08-26,2745.164671605207,8312216650.941433,330332547375.3104
2024-08-27,2683.0801154902983,11486270160.014797,322816645099.5817
2024-08-28,2457.2773517547434,17505948780.2572,295636169778.93835
2024-08-29,2527.0269814017706,21234602056.030586,303958449107.31573
2024-08-30,2526.7383553003406,13272715023.256615,304106394048.1237
2024-08-31,2527.690204915795,15607580785.925383,304009556580.61725
2024-09-01,2513.3643501004462,6105765553.728281,302383496015.1365
2024-09-02,2430.0202661439344,11229587557.968822,292436067877.0585
2024-09-03,2534.9048168403706,12130504179.053215,304838837601.64795
2024-09-04,2437.1471557556497,9565142020.243557,293818299349.5953
2024-09-05,2448.30785784089,16639700582.521397,294329412026.3932
2024-09-06,2367.7700509506026,11060190870.627691,284989115168.67084
2024-09-07,2223.780428382685,26087934661.284035,267574522057.00296
2024-09-08,2272.6972849951912,10405191111.340616,273350308345.93225
2024-09-09,2296.4029520764498,9844980386.825493,276344419515.7602
2024-09-10,2359.565766831627,15874675673.552357,284026097136.9972
2024-09-11,2389.4740111256497,12508388687.122387,287422889605.8082
2024-09-12,2342.9639236941434,14692963988.99108,282041230807.9828
2024-09-13,2362.300238174588,11610780893.077023,284255194234.77527
